,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
MMP15,-0.81,0,0.47,0.58,0.58,-1.04,-0.26,0.21,0,-0.23,0.18,-0.2,0.18,0.57,-0.2,0.54,0.48,0.36,-0.1,0,0.47,-0.14,0.12,0.55,-0.08,-0.2,1,-0.47
PRM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP10,0.27,0.01,-0.46,0.11,-0.53,-0.3,-0.83,0.46,-0.15,-0.03,-0.27,-0.01,-0.35,0.7,-0.49,0,0.58,-0.08,-0.35,0,1.34,-0.06,-0.24,-0.15,0.06,-0.23,0.72,0.04
HSBP1,0.15,0.17,-0.39,0.97,0.37,-0.03,0.41,0.45,0.17,0.31,-0.13,0.18,-0.24,-0.36,-0.16,0,-0.37,-0.3,-0.16,0.2,0,0.18,0.39,0.38,0.12,0.12,0.25,0.72
ESRP2,1.08,-1.18,-0.03,0.71,-0.79,1.69,-1.1,0.75,-1,-0.31,0.18,0,0.12,-0.04,-3.87,0.45,-0.01,-0.29,-0.74,0,0.92,-0.79,-0.72,0.01,0.1,-0.3,0.67,0.42
CDH16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NELL2,-1.7,-1.6,-2.51,-3.31,2.2,1.24,-0.71,-0.61,2.57,-1.96,3.02,2.87,1.39,0.5,-2.79,5.06,0.43,-0.29,0,-0.03,-1.4,-1.98,-2.66,-1.21,2.43,1.76,-0.63,0.21
CMIP,-0.34,-1.07,0.28,-0.46,0.35,0,0.22,0.05,0.39,0.76,-0.05,-0.22,-0.01,0.16,0.91,0.21,0.97,-0.23,0.98,0.56,-1.54,0.43,0,0.19,-0.84,-0.59,0.09,-0.11
GRIN2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF598,-0.52,-0.07,0.48,0.29,-0.56,0,-0.23,-0.24,0.08,-0.73,-0.44,-0.15,0.64,0.58,-0.51,0.2,-0.22,0.61,-0.31,-0.91,1.12,0.11,-0.35,0.16,0.48,-0.11,0.84,0.44
DECR2,-0.39,0.6,0.51,0.72,-0.43,0.43,-0.59,0.83,-0.5,-0.17,-0.02,0.88,-0.12,-0.12,-0.28,-0.32,-0.59,0.8,-0.36,0.27,0.84,-0.05,-0.02,-0.39,0.29,-0.12,-0.18,0.07
NPRL3,-0.1,0,0.2,0.39,-0.62,0.36,-0.47,-0.05,-0.13,0.03,-0.39,0,0.47,0.11,0.04,-0.19,0.04,0.24,-0.12,-0.39,0.19,0.25,-0.16,0.04,0.38,-0.31,0.39,0.12
ORC6,0.7,0,0.82,-0.48,0.14,-0.27,0.81,0.39,-0.67,-0.2,0.85,-0.46,0.3,0.3,-0.11,-0.04,-0.29,0.15,-0.74,-0.29,-0.73,-0.18,-0.38,-0.45,-0.11,1.38,-1.44,0.99
ORC6,-0.69,0.99,-1.26,0.15,-0.34,-0.93,-1.01,-1.24,0,-0.24,-0.38,-0.73,-0.72,0.34,0.21,-1.02,0.97,-1.05,-1.12,-0.59,0.23,0.4,-0.29,-0.56,0.27,-0.31,1.13,-0.85
PPP4C,0.09,1.57,-0.5,1.27,-0.23,0.66,-0.6,0.07,0.06,-0.63,-0.08,0.29,-0.18,-0.32,-0.73,-0.12,0.6,0.55,-0.4,0.19,1.14,-0.16,-0.04,0.17,0.98,-0.48,1.39,-0.29
IL34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCEB2,-0.26,0.26,-0.36,1.24,0.04,-0.15,0,-0.43,0,0.16,0,0.22,-0.38,-0.26,-0.35,-0.18,0.05,-0.38,0.67,0.69,1.69,0.12,-0.3,-0.3,0.08,-0.27,0.32,0.07
NTN3,0.18,-0.1,-0.73,-0.15,-0.51,0.01,0,-0.38,0.06,-0.17,-0.35,-0.16,-0.41,-0.51,0.55,0.48,0.54,-0.45,0,1.33,0,-0.03,0.28,0.08,-0.28,0,0.08,0.04
EXOSC6,0.28,0,-0.44,-0.78,0.19,-0.26,-0.39,-0.24,-0.19,0.08,0.39,-0.27,-0.23,0,0.34,-0.08,0.73,0.02,0.18,0.57,0.24,-0.05,0.01,-0.01,-0.85,-0.3,-0.09,-0.58
ZCCHC14,0.06,-0.65,-0.02,-0.26,-0.36,-0.9,0.58,0.74,-0.14,0.16,0,0.7,-0.15,0.5,0.32,-0.06,-0.86,-0.64,-0.89,-0.38,1.52,0.9,0.08,0.29,0.38,0.65,0.69,0.93
FAM192A,0.53,-0.23,0.15,0.61,0.28,-0.06,0.03,0.29,0.71,0.28,0.23,-0.12,-0.07,-0.06,0.2,0.18,-0.47,-0.33,-0.2,-0.07,-0.18,0.02,-0.42,0.14,-0.15,-0.09,0.76,0.34
MTHFSD,0.27,-0.36,0.45,0.68,-1.3,0.33,-0.02,1.13,-0.53,-0.16,0.28,0.06,0.22,-0.17,-0.22,-0.41,0.22,-0.76,-0.16,-1.1,-0.58,0.02,-0.53,0.48,-0.14,0.45,0.48,-0.77
TXNL4B,0.47,0.41,-0.4,0.17,0.17,1.04,-0.05,0.24,-1.2,-0.29,-0.02,-0.1,-0.29,0.53,0.36,-0.56,0.82,-0.53,-0.52,0.45,-0.46,-0.2,0,0.43,-0.15,-0.14,0.39,-0.23
KAT8,-0.39,0.17,-0.06,0.47,-0.24,0.1,0.01,-0.51,0.39,-0.06,0.6,0.35,0.21,-0.01,-0.45,0.1,0.38,0.74,0.21,-0.43,-0.43,0.23,-0.69,0.39,0.75,-0.27,0.58,-0.17
VKORC1,-0.11,-0.32,-0.41,0.92,1.1,-0.82,0.41,-0.61,-0.53,0.03,1.08,0.21,-0.29,0.3,0.94,-0.08,-0.43,0.42,-0.26,0.29,0.14,0.27,-0.11,0.09,-0.06,-0.14,0.44,0.24
ROGDI,-0.29,0.68,-0.58,1.01,0.33,0.4,-0.9,-0.41,-0.43,-0.7,0.4,0.02,-0.12,-0.59,-0.59,-0.12,1.25,1.73,-0.62,0.53,-0.57,-0.38,0.01,0.1,0.19,-0.84,1.18,-0.79
HMOX2,0.12,0.23,-0.56,0.5,0,0.51,-0.21,-0.96,-0.27,-0.25,0.11,0,-0.01,0.08,0,-0.33,-0.31,0.54,-0.07,0.38,0.57,-0.24,-0.12,0.03,0.09,-0.4,0.19,-0.26
TMEM170A,0.45,-0.51,-0.51,0.11,-0.15,-0.31,0,0,-0.21,-0.13,0.19,-0.12,0.44,0.66,0.32,0.19,0.3,-0.37,-0.67,0.05,0.01,-0.07,-0.46,-0.23,-0.46,0.06,-0.19,0.02
ABCC6,1.44,2.29,0,-1.44,1.66,0.92,0.66,-0.76,-0.42,0.65,-0.17,0.86,-0.13,-0.39,-1.74,0.94,3.04,-0.47,-0.08,0.2,-0.43,-0.45,-0.65,1.74,0.8,0.65,-1.13,0
EXOC7,0.41,-0.08,0.14,-0.39,0.34,0.93,0,0.95,-0.06,0.12,0.09,-0.28,-0.21,-0.15,0.25,0.19,1.17,-0.01,-0.3,0.08,-0.55,0.25,0.26,0.13,-0.07,-0.39,-0.28,0.02
PSMB3,0.12,0.29,-1.01,0.47,0.36,0.12,-0.59,-0.83,0.35,-0.39,-0.34,-0.07,0,0.09,0,0.04,-0.4,0.04,-0.1,0.66,0.48,-0.54,0.11,0.28,-0.07,-0.14,0.21,-0.56
LPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBCD,0.11,0.02,0.89,-0.55,0.28,0,0.11,1.41,-0.53,-0.5,0.73,-0.6,0.47,0.51,0.58,0.76,1.25,0.38,0.56,-0.63,0,-0.08,0.12,0.1,-0.18,-0.04,-0.15,-0.08
MGAT4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN1,0.33,-0.17,0,0,0.02,0.23,-1.19,0,0,-1.56,0,-0.59,1.56,0.89,0,0.4,0.7,-0.1,-1.38,-0.66,0.06,-0.49,-0.03,-0.4,-0.33,0,1,-0.78
PNMT,-0.27,2.87,0.93,0.9,-3.42,-0.78,0.68,-0.81,-2.29,1.15,-2,1.55,0.23,-2.51,-3.3,0.18,-3.29,-0.5,-2.44,3,-2.08,1.25,2.38,-1.06,1.66,-0.65,-1.87,0.38
ZBTB4,-0.28,-0.14,0,0.03,-0.35,-0.32,0,0.33,0.67,0.26,-0.27,0.09,0.38,-0.1,0.11,0.74,-0.17,0.34,1.28,-0.86,-0.22,0.23,0.39,0.02,0,0.17,-0.15,0.28
SERPINF1,0.3,0.67,0.11,0.36,1.15,-2.35,0.35,-1.45,-0.29,0.56,-0.09,0.18,0.2,1.38,0.52,0.17,-1.6,-0.82,-1.52,-0.02,0.7,0.28,-0.47,0.61,0.23,-0.18,0.73,1.23
SMG6,-0.52,0.66,0.8,-0.43,-0.33,0.2,0.38,-0.52,0.21,-0.07,-0.49,0.04,0.12,0.25,0.31,0.49,-0.37,0.26,1.03,-0.88,-0.53,0.46,0.05,0.21,0.63,0.17,0.41,0.49
HELZ,0.21,-0.52,0.4,-0.26,-0.29,0.79,0.08,1.15,-0.09,0.04,0.01,-0.27,-0.36,0.34,-0.24,-0.48,0.51,0.21,-0.7,-0.19,0.56,0.06,-0.38,-0.35,0.09,-0.15,-0.28,0.58
MAPK7,-0.72,-0.58,0.17,-0.58,0.07,0.05,0.05,-0.44,-0.21,-0.19,-0.35,-0.16,0.44,0.72,0.42,0.26,-0.46,-0.18,0,-0.63,0.11,0.37,0.08,0.41,0.26,0.04,0.45,0.34
PMP22,-0.63,-0.02,0.15,0.93,0,-1.96,0.1,-0.49,0.03,0.55,0.23,-0.22,0.19,0.27,-0.55,-0.4,-1.67,-1.33,-0.9,0.13,0.54,0.54,0.33,0.42,0,0.19,0,0.48
SKAP1,-0.18,-2.24,-1.69,0.18,-0.35,0.76,-0.49,0.46,1.15,0.07,1.4,-0.61,0.52,0.34,-1.72,1.57,-0.18,-0.49,1.76,0.17,-1.6,-0.03,0.13,0.03,-0.7,-0.3,-1.55,-0.79
SMURF2,0.15,0.28,-0.46,0,-0.2,0,0.6,1.85,0.17,0.17,-0.12,0.24,0.28,0.3,-0.04,-0.08,0.8,-0.35,-0.77,0,0.07,0.46,0.14,-0.01,0.01,0.2,0.17,0.18
SLC25A39,0.13,-0.24,-0.11,-0.75,0.25,0.71,-0.16,-0.7,-0.27,-0.11,0.47,-0.26,-0.15,0.63,0.44,0.3,0.32,0.05,0.28,0,-0.11,-0.03,0.09,0.06,-0.2,-0.08,-0.01,0
PNPLA2,-1.51,2.16,2.21,0.01,-0.49,1.53,0.31,-0.36,0.9,1.11,0.28,-0.59,-0.09,-0.29,-0.91,0.42,-0.65,0.56,0.74,-0.85,-0.67,0.05,0.3,0.46,0.46,0.17,0.33,0.17
UBTF,-0.66,-0.41,0.01,0.06,-0.34,-0.01,-0.4,-0.14,0.54,-0.54,-0.07,-0.2,-0.08,0.15,-0.46,0.06,0.27,0.72,0.15,-0.28,-0.57,0,0.01,0.08,-0.11,-0.4,0.73,-0.07
STAT5B,0.51,0.1,0.03,-1.01,-0.2,0.26,-0.58,-0.88,-0.62,0.61,0.3,-0.21,0.5,0.39,0.39,0.51,-0.48,-0.09,-1.04,0.64,-0.95,0.38,0.48,-0.02,-0.57,0.34,-0.52,-0.24
STAT3,-0.55,0,0.14,0.08,0.52,0.25,-0.49,-0.08,0.01,-0.17,0.25,-0.21,0.61,-0.01,-0.02,0.37,-0.55,0.28,0.57,0,-1.01,0.02,0.28,1.07,-0.11,-0.25,0.98,-0.44
CCDC56,0.69,-0.27,-0.24,0.44,0.02,0.76,-0.26,0.23,0.23,-0.04,0.32,0.28,0.23,-0.88,-1.03,0.49,-0.52,0.38,0,0.78,-0.14,-0.57,-0.52,0.12,-0.12,-0.43,-0.43,-0.16
ARL13B,-0.71,0.33,-0.09,0.91,-0.39,0.16,0.23,0.27,-0.24,0.09,0,0,0.15,-0.51,-0.22,-0.97,-0.33,0.04,-0.86,0.6,0.69,0.25,0.16,0.09,1,-0.16,0.69,0.47
MYO19,-0.25,-0.82,-0.27,0.12,0.3,-0.92,0.17,-1.1,-0.53,-0.11,0.11,-0.24,0.25,0.16,-0.04,-0.64,-0.24,-0.31,-0.44,-0.3,-0.03,0.25,-0.21,0.06,0.48,-0.33,-0.09,-0.17
HOXB3,0,-0.09,0.11,0,0.56,0,-0.04,0,0,0.46,0.45,0,0,0,-0.24,0.4,0,-0.18,0,0,-0.06,0.55,-0.18,-0.15,0,0.35,-0.55,0.39
SUZ12,0.26,-0.53,0.04,-0.06,-0.18,0.39,0.14,0,0.03,-0.14,-0.23,-0.06,0.46,-0.06,-0.16,0,-0.27,-0.16,-0.29,0.14,-0.4,-0.03,-0.04,-0.32,-0.15,0.28,-0.43,0.32
GIT1,0.04,-1.31,0.09,-0.2,-0.1,0.6,-0.22,-0.95,0.7,0,0,0.01,-0.2,0,0,0.43,0.87,0.45,0.99,0,-0.2,-0.06,-0.01,0.5,0.21,-0.5,0.29,-0.39
AIPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP3,0,-0.44,0.09,-0.6,0.47,0.31,-0.41,-0.2,0,0.6,0.6,0,0.42,-0.28,0.61,1.23,0,0,0.13,0,-0.57,0.39,0.05,-0.7,-0.74,-0.02,-0.39,-0.15
SPNS3,-0.36,0,-0.53,-0.53,0.19,-0.51,0.49,0.01,0.68,-0.41,0.45,0.29,-0.58,1.03,0.16,0.29,0.17,-0.18,-0.13,0.3,-0.67,0.04,-0.04,0.69,-0.06,-0.1,-0.6,-0.42
KRT38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTUM,0.1,-0.4,-0.48,-0.67,0.11,-0.02,-0.52,-0.11,-0.01,0.28,-0.65,-0.23,-0.66,-0.14,0.53,-0.46,0.7,0.59,0.41,1.98,-0.55,0.29,0.29,-0.4,-0.36,-0.28,0.01,-0.56
TMC6,0.35,0.49,-0.28,-0.62,0.02,0.29,-0.31,-1.5,-0.4,-1.07,0.06,-0.71,0.48,1.3,0.4,0.7,0.98,0.77,0.02,-0.17,0.56,-0.68,0.16,-0.08,-0.38,-0.29,0.5,-0.52
LGALS9C,0.32,1.12,0.14,-0.08,1.1,-1.39,-0.11,-1.51,0.88,-0.72,0.38,-0.17,-0.01,1.17,1.43,1.24,-0.06,-0.11,-0.1,0.31,0.08,-0.04,0,0,-0.56,-0.42,0.73,-0.12
KRTAP9-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP3-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPATA22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPZ2,-0.03,0.29,-0.23,0.66,1.59,-0.09,1.46,-1.8,0.05,0.53,-0.74,0.16,-0.02,1,1.49,-0.19,-0.55,-1.15,-1.14,1.12,0.28,0.86,0.12,-0.11,0.57,0.38,0.44,1.26
CTDP1,-0.13,0,-0.08,-0.09,-0.06,0,-0.11,-0.81,-0.01,0,-0.38,-0.14,0.17,0.97,-0.26,0.12,-0.52,-0.13,0,0.18,0.52,0.28,0.18,-0.06,0.59,-0.13,0.61,-0.42
GRP,0,-4.54,-4.27,1.27,1.21,-3.67,-1.16,0,0,-3.17,-2.57,0.17,2.4,-2.54,0,-1.27,-2.05,-0.47,-3.26,0,0,0.4,0.27,-1.49,-0.13,-0.26,0,1.62
RNF125,-0.16,0.81,0.58,0.17,0.77,0.16,0.7,-2.1,0.12,0.51,0.28,0.19,-1.32,1.1,0.82,0.56,0.67,0.14,-1.05,0.09,-0.09,0.13,-0.63,0.46,0,0.35,-0.57,-0.78
NARS,-0.01,-0.12,0.02,0.61,0.18,0.47,-0.01,-0.34,0.33,0.19,0.06,0.45,0.32,-0.65,-0.46,-0.03,-0.18,0.33,-0.16,-0.32,0.29,-0.05,0.09,0.17,0.46,0.25,-0.1,0.21
MYO5B,0.23,-0.9,-0.01,-0.02,-0.97,1.23,-1.8,0.23,-0.07,-0.18,0,0,0.53,-0.14,-5.5,-0.03,0.26,0,0.52,-0.51,0,0.06,0.54,0.19,0,-0.66,0,0
CYB5A,-0.21,0.82,0.25,0.18,0.01,1.37,-0.21,-1.84,0.09,0.19,-0.69,0.03,-0.15,0,-1.47,-0.02,1.77,-0.11,0.73,0.29,0.81,-0.47,-0.22,0.24,0.66,-0.49,-0.43,-0.18
SFRP1,-0.9,1.95,2.1,-2.84,-2.36,0.58,2.6,0.84,1.76,2.38,-0.01,1.51,-3.35,-2.02,-0.41,-0.08,-0.73,-3.23,0.93,0.75,-2.55,1.76,0.99,1.6,1.13,3.67,0.01,0.93
C18orf21,-0.25,-0.27,-0.23,0.29,0.36,0.26,0.06,-0.53,0.55,0.1,-0.15,0.47,-0.06,-0.33,-0.16,0.59,0.6,-0.24,0.66,-0.16,-0.09,0.1,0.43,0.16,0.11,-0.19,-0.44,-0.32
VSIG10L,-0.38,-1.89,-2.67,0.2,0.98,0.84,-0.74,-0.93,0.25,0.63,-0.28,1.54,0.39,0.5,0.99,-2.57,0.4,0.01,1.46,-0.36,0.06,-2.58,-0.95,0.13,0.57,0.46,-0.44,0.5
VSIG10L,0.03,0.99,0.08,-0.93,-0.06,-0.61,-0.2,-0.33,0.24,0.18,-0.02,0.54,-0.71,0.9,-0.23,0.57,0.04,0.18,0.35,0.47,0.94,0.59,-0.4,-0.27,-0.42,-0.39,0.08,-0.17
ZNF614,0.58,-0.2,-0.75,-0.41,0.02,-0.67,0,0.66,0.82,0,-0.12,0.5,-0.17,0,0,-0.62,0.83,-0.29,-0.04,0.54,0.14,0.04,-0.06,-0.02,-0.04,0,-0.35,-0.25
ZNF614,0.46,-0.29,-0.42,-0.47,-0.12,-0.82,-0.12,0.38,0.17,0.32,0.23,0.23,-0.24,-0.42,0.1,-0.49,0.66,-0.07,-0.21,0.55,0.2,0.2,0.14,-0.04,-0.35,-0.04,-0.41,-0.46
SFRP1,-0.66,1.46,2.1,-3.21,-1.87,0.5,2.46,0.92,1.54,2.45,0.04,1.32,-2.95,-1.71,-0.6,-0.18,-0.68,-3.42,0.8,0.71,-2.59,1.91,0.95,1.55,0.73,3.85,-0.09,0.89
ZNF446,-0.04,-0.14,0.05,0.03,-0.7,-0.06,-0.52,-0.13,0.15,-0.17,-0.04,0.67,0.29,-0.55,-1.05,-0.56,0.28,0.4,0.24,-0.81,-0.22,-0.06,0.13,-0.18,0.67,-0.19,0.31,0.46
ZNF587,0.4,-1.37,0.22,0,-0.43,2.22,0.05,1.36,-0.78,-0.54,1.17,0.22,0.05,-0.63,-0.65,-0.47,1.17,1.03,0.52,-0.54,0,-0.48,-0.53,-0.77,-0.16,0.35,-0.1,0.72
EML2,0.4,-0.39,0.52,0.42,0.23,0.89,-0.66,0.42,-0.51,-0.62,1.06,0.93,0.15,-0.29,-1.16,0.64,1.86,1.69,1.17,-1.42,-0.81,-0.31,-0.11,0.34,0.17,-0.11,0.18,-0.01
PPP1R37,0.31,-0.73,0.57,-0.08,-0.1,1.23,-0.52,0.67,-0.17,-0.26,0.43,0.28,-0.28,-0.46,-0.46,0.01,0.14,0.67,0.88,-0.79,-0.14,0.22,0.03,0.1,0.14,-0.17,0.72,-0.2
PPP1R37,0.4,-0.2,0.57,0.18,-0.05,1.21,-0.56,-0.2,-0.4,-0.79,0.4,0.29,-0.06,-0.23,-0.51,0.12,0.68,1.18,1.11,-0.81,-0.07,0.03,0.28,0.04,0,-0.28,1.11,-0.6
ZNF285,-1.26,0.41,0.63,-0.89,-0.18,-0.72,0.7,0.35,0.98,0.08,0.79,0.96,0.21,-0.41,-0.91,-1.09,-0.31,0.5,0.02,0,1.07,-0.05,-0.01,0.26,-0.19,0.8,-0.62,0.68
ARHGEF1,-0.59,-0.29,0.83,-0.17,0.02,-0.51,0.07,-0.15,0.29,-0.42,0.4,-0.16,-0.2,0.87,-0.11,0.09,-0.7,0.14,-0.07,0,-0.13,-0.26,-0.34,0.36,0,0,0.34,0.03
KRI1,-0.44,-0.81,0.19,-0.6,0,-0.03,-0.01,-0.04,-0.14,0,0,-0.48,-0.07,0.57,0.37,0.27,0.34,0,0.04,-0.45,-0.74,0.31,-0.2,0.16,-0.11,0.21,0,-0.07
ATG4D,-1.04,-0.45,0.06,-0.35,-0.82,0.64,-0.43,0.31,-0.58,-0.25,0.44,-0.68,-0.01,-0.49,-0.22,0.18,0.29,0.35,0.98,-1.26,-1.2,-0.22,0.16,0.24,-0.14,-0.03,0.28,-0.65
NKIRAS2,-0.05,-0.07,0.32,0,0.21,0.77,0.09,-0.01,0.28,-0.25,-0.24,-0.19,-0.01,0.53,0.36,0.44,0,0.33,0.8,-0.38,-0.95,0.34,0.16,0.24,-0.19,0.01,0,0.04
ZNF426,-1.17,0.43,-0.54,-1.92,-0.16,0.02,0.39,0,0,0.21,-0.11,-0.08,-0.61,-0.06,0.45,-0.03,0.23,-0.56,-0.4,-0.17,0.41,0.87,0.57,-0.18,0.43,0.69,0.17,0.22
CYP2S1,-0.26,0.03,-0.08,-0.42,0.28,0.29,-0.59,0.21,-0.37,0.14,0,0.15,-0.22,0.25,0.61,-0.25,0.31,0.14,-0.08,-1.15,-0.18,0.31,0.08,0,-0.17,-0.34,0.62,-0.02
B3GNT8,0.21,-0.69,-1.07,-0.82,0.57,-1.16,-0.55,0.83,0.1,-0.55,0.2,-0.48,0.32,0.2,0.67,0.84,0.69,-0.56,0.02,0.13,0.14,0.17,0.33,-0.53,-0.93,-0.08,0.1,-0.48
TMEM38A,-0.54,-0.36,0.01,-0.44,-0.6,1.1,-0.3,0.31,-0.27,0,-0.4,-1.08,0.04,-0.9,-1.62,0.09,2.21,1.31,1.17,-0.93,1.45,0.41,0.03,-0.09,0.03,0.25,0.97,-0.89
LINC00467,-0.08,-0.08,-0.4,0.27,0.36,-0.4,-0.57,0.11,0.68,0.47,-0.28,0.14,0.78,-1.27,-0.56,1.23,-0.65,0.79,1.26,0.7,-1.81,-0.68,0,0.41,-0.72,-0.23,-0.07,-1.31
C3,-0.89,0.33,0.33,-1.09,-0.31,-2.33,-0.54,-1.69,0.25,-0.09,0.49,0.51,0.19,2.11,0.93,0.71,-1.14,0.19,-0.92,-0.19,0,0.14,-0.53,1.52,0.07,-0.01,-0.1,0.39
EVI5L,-0.24,0.34,0,0.14,0,0.33,0,-0.55,0.07,-0.07,0.04,-0.15,-0.21,-0.01,-0.41,0.14,0.34,0.23,0.02,0.66,-0.79,0.07,0.33,0,-0.16,-0.29,0.14,-0.57
NLRP12,2.5,0,-0.48,0.65,0.07,1.78,-0.81,-1.29,0,0,-1.34,0.05,0.47,0.43,0,0,-1.86,0.37,0,0,0.74,-0.17,-0.17,-0.76,0.09,-0.9,0.78,-0.22
CCDC130,-0.69,-0.45,0.63,-0.18,-0.2,-0.98,0.51,-0.25,-0.2,-0.04,0.39,-0.52,0.59,0.45,0.11,0.04,-1.19,0.19,-0.42,-0.98,0.14,0.28,-0.26,-0.27,0.5,0.75,-0.22,0.98
